1,-27.467834,153.019073,15023.017157250471,21067.328588597462,1,-27.467987000000004,153.01872766666668,14988.863426568898,21050.374517024786
2,-27.468094,153.018738,14989.870304468674,21038.51774779673,1,-27.467987000000004,153.01872766666668,14988.863426568898,21050.374517024786
106,-27.468033,153.018372,14953.702878612514,21045.27721438905,1,-27.467987000000004,153.01872766666668,14988.863426568898,21050.374517024786
120,-27.467476,153.020065,15121.116116132323,21106.99889840084,2,-27.467581000000003,153.0201645,15130.936471654666,21095.36375188221
119,-27.467686,153.020264,15140.75680848423,21083.728605188142,2,-27.467581000000003,153.0201645,15130.936471654666,21095.36375188221
82,-27.470659,153.025497,15657.5713966342,20754.287664524898,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
919,-27.470209,153.024597,15568.680157199991,20804.15259898999,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
929,-27.470181,153.024628,15571.74809267521,20807.255305917428,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
999,-27.470545,153.024261,15535.423234732005,20766.920114894467,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1001,-27.470552,153.024582,15567.14938048149,20766.144438123065,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1002,-27.470675,153.02475,15583.736930449011,20752.514689018615,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1003,-27.470652,153.024994,15607.856714253052,20755.063341308625,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1004,-27.470526,153.025192,15627.444473717203,20769.02552326935,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1006,-27.470373,153.025421,15650.100086367025,20785.979601025483,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1008,-27.470358,153.025131,15621.439018312361,20787.641765491207,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1009,-27.470371,153.024841,15592.774001635436,20786.201222955176,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1010,-27.470161,153.024765,15585.29181272527,20809.471525142813,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1011,-27.47007,153.024887,15597.36295179219,20819.555322540342,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1013,-27.4699,153.025116,15620.021012445059,20838.39318545631,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
1015,-27.469814,153.025223,15630.608916895604,20847.922927697724,3,-27.4703364,153.02492566666666,15601.147205777797,20790.035282315403
10,-27.468002,153.023972,15507.214862751649,21048.712353126582,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
20,-27.469015,153.0242,15529.608551462365,20936.460876147,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
21,-27.468529,153.024826,15591.550641636597,20990.314992511012,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
22,-27.468397,153.024994,15608.174391589311,21004.942035812663,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
10780,-27.468613,153.024231,15532.728941974992,20981.006873902697,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
10786,-27.468113,153.023727,15482.983385552869,21036.41234015755,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
10787,-27.468365,153.023788,15488.977432550075,21008.48798566178,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
10789,-27.468533,153.023956,15505.559101154307,20989.871748770453,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
40,-27.468609,153.024902,15599.051234192813,20981.450117648215,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
10791,-27.468699,153.024139,15523.623600296076,20971.47713330516,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
42,-27.46876,153.024719,15580.942254503676,20964.71766606621,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
43,-27.469141,153.024216,15531.172325081281,20922.498697216994,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
10785,-27.468199,153.023621,15472.494274661762,21026.882600244382,4,-27.468536538461535,153.0242531538462,15534.92935185937,20989.479648538807
16,-27.470221,153.022629,15374.163912359778,20802.82286744738,5,-27.4705565,153.0219955,15311.503228620963,20765.645788769718
1942,-27.470646,153.021713,15283.569033786594,20755.728207121472,5,-27.4705565,153.0219955,15311.503228620963,20765.645788769718
48,-27.470606,153.022354,15346.929937769139,20760.16064586303,5,-27.4705565,153.0219955,15311.503228620963,20765.645788769718
109,-27.470669,153.021744,15286.62984809608,20753.17955483344,5,-27.4705565,153.0219955,15311.503228620963,20765.645788769718
111,-27.470589,153.021759,15288.123462263884,20762.044432320912,5,-27.4705565,153.0219955,15311.503228620963,20765.645788769718
112,-27.470608,153.021774,15289.603415646148,20759.939023927098,5,-27.4705565,153.0219955,15311.503228620963,20765.645788769718
28,-27.465717,153.028427,15947.878952640991,21301.915279222983,6,-27.466151500000006,153.02821333333335,15926.697107844613,21253.76794584583
31,-27.466551,153.028015,15907.036028675664,21209.498991102013,6,-27.466151500000006,153.02821333333335,15926.697107844613,21253.76794584583
149,-27.466684,153.028183,15923.62236671499,21194.761140773317,6,-27.466151500000006,153.02821333333335,15926.697107844613,21253.76794584583
27,-27.465899,153.028183,15923.735176054715,21281.747696908536,6,-27.466151500000006,153.02821333333335,15926.697107844613,21253.76794584583
34,-27.465965,153.02832,15937.267113230613,21274.434177916868,6,-27.466151500000006,153.02821333333335,15926.697107844613,21253.76794584583
