17458,-38.01587,145.27722,1,-38.0159285,145.277175
17543,-38.015987,145.27713,1,-38.0159285,145.277175
17544,-38.01598,145.27467,2,-38.015935,145.2748
17459,-38.01589,145.27493,2,-38.015935,145.2748
3322,-37.987976,145.120062,3,-37.987694,145.12045725
4,-37.98734,145.12024,3,-37.987694,145.12045725
3542,-37.98804,145.121177,3,-37.987694,145.12045725
2879,-37.98742,145.12035,3,-37.987694,145.12045725
56,-37.735815,145.04168,4,-37.7358465,145.0414855
5,-37.735878,145.041291,4,-37.7358465,145.0414855
108,-37.735713,145.048994,5,-37.73648425,145.049151
6671,-37.73717,145.049482,5,-37.73648425,145.049151
89,-37.737224,145.04936,5,-37.73648425,145.049151
59,-37.73583,145.048768,5,-37.73648425,145.049151
6,-37.736265,145.044962,6,-37.73637175,145.044728
971,-37.73643,145.04445,6,-37.73637175,145.044728
761,-37.73665,145.044524,6,-37.73637175,145.044728
58,-37.736142,145.044976,6,-37.73637175,145.044728
400,-37.7344,145.04887,7,-37.734452,145.048657
763,-37.734504,145.048444,7,-37.734452,145.048657
57,-37.736342,145.046948,8,-37.736425,145.0470885
7,-37.736508,145.047229,8,-37.736425,145.0470885
9,-37.73105,145.0498,9,-37.73135,145.0497
401,-37.73165,145.0496,9,-37.73135,145.0497
15320,-37.874139,145.178529,10,-37.87336125,145.17873975
15319,-37.872588,145.178836,10,-37.87336125,145.17873975
23263,-37.874143,145.178651,10,-37.87336125,145.17873975
16587,-37.872575,145.178943,10,-37.87336125,145.17873975
15640,-37.875397,145.177266,11,-37.8754115,145.177056
16589,-37.875426,145.176846,11,-37.8754115,145.177056
16585,-37.869405,145.180616,12,-37.8694255,145.1805585
15317,-37.869446,145.180501,12,-37.8694255,145.1805585
11,-37.877448,145.178556,13,-37.876926,145.1787295
16779,-37.876404,145.178903,13,-37.876926,145.1787295
16586,-37.870982,145.179252,14,-37.8708525,145.1792195
15318,-37.870723,145.179187,14,-37.8708525,145.1792195
16780,-37.880436,145.178141,15,-37.8805565,145.1780445
12,-37.880677,145.177948,15,-37.8805565,145.1780445
43683,-37.713238,145.148153,16,-37.713051,145.148500625
42635,-37.713059,145.148224,16,-37.713051,145.148500625
48396,-37.71339,145.148529,16,-37.713051,145.148500625
48397,-37.713201,145.148579,16,-37.713051,145.148500625
21490,-37.713036,145.148495,16,-37.713051,145.148500625
21492,-37.713011,145.148505,16,-37.713051,145.148500625
7994,-37.712472,145.148842,16,-37.713051,145.148500625
20799,-37.713001,145.148678,16,-37.713051,145.148500625
10989,-37.715736,145.147319,17,-37.715269,145.1478195
13,-37.714802,145.14832,17,-37.715269,145.1478195
2880,-37.98373,145.12108,18,-37.9837265,145.120985
14,-37.983723,145.12089,18,-37.9837265,145.120985
2881,-37.981199,145.121574,19,-37.9812935,145.121492
15,-37.981388,145.12141,19,-37.9812935,145.121492
16,-37.979073,145.121861,20,-37.978989,145.121938
2882,-37.978905,145.122015,20,-37.978989,145.121938
16781,-37.88512,145.177264,21,-37.885545,145.177122
86,-37.88597,145.17698,21,-37.885545,145.177122
17,-37.884072,145.17734,22,-37.884072,145.17734
19723,-37.83343,144.943341,23,-37.8333756467,144.942930433
24151,-37.83347994,144.9419403,23,-37.8333756467,144.942930433
19371,-37.833217,144.94351,23,-37.8333756467,144.942930433
643,-37.834444,144.929697,24,-37.834384,144.92948925
21,-37.834967,144.929405,24,-37.834384,144.92948925
4902,-37.833993,144.929416,24,-37.834384,144.92948925
6520,-37.834132,144.929439,24,-37.834384,144.92948925
10245,-37.836747,144.943425,25,-37.8369856667,144.943610333
648,-37.837218,144.943847,25,-37.8369856667,144.943610333
336,-37.836992,144.943559,25,-37.8369856667,144.943610333
19722,-37.83024,144.948692,26,-37.82982475,144.948118
6512,-37.82955,144.947568,26,-37.82982475,144.948118
19370,-37.83024,144.948473,26,-37.82982475,144.948118
40255,-37.829269,144.947739,26,-37.82982475,144.948118
642,-37.836905,144.927105,27,-37.8367315,144.92725
331,-37.836558,144.927395,27,-37.8367315,144.92725
10073,-37.834188,144.94059,28,-37.8342135,144.9403885
10243,-37.834239,144.940187,28,-37.8342135,144.9403885
334,-37.839271,144.939436,29,-37.839531,144.9395805
646,-37.839791,144.939725,29,-37.839531,144.9395805
645,-37.8347,144.93381,30,-37.8341433333,144.933639
4904,-37.833328,144.933355,30,-37.8341433333,144.933639
333,-37.834402,144.933752,30,-37.8341433333,144.933639
330,-37.836381,144.924956,31,-37.836565,144.925192
641,-37.836749,144.925428,31,-37.836565,144.925192
10074,-37.83588,144.942418,32,-37.835655,144.941882
10244,-37.83543,144.941346,32,-37.835655,144.941882
10075,-37.83851,144.942601,33,-37.8389576667,144.942074667
647,-37.839685,144.941504,33,-37.8389576667,144.942074667
335,-37.838678,144.942119,33,-37.8389576667,144.942074667
4905,-37.832924,144.935552,34,-37.83291,144.936109333
6517,-37.832727,144.937215,34,-37.83291,144.936109333
6518,-37.833079,144.935561,34,-37.83291,144.936109333
644,-37.833879,144.931499,35,-37.833822,144.931093
4903,-37.833765,144.930687,35,-37.833822,144.931093
6521,-37.834587,144.927929,36,-37.8345305,144.9274805
4901,-37.834474,144.927032,36,-37.8345305,144.9274805
4908,-37.831701,144.941916,37,-37.8317496667,144.941807667
6514,-37.831631,144.94257,37,-37.8317496667,144.941807667
6515,-37.831917,144.940937,37,-37.8317496667,144.941807667
4900,-37.834691,144.925526,38,-37.834691,144.925526
6513,-37.831142,144.944903,39,-37.8312305,144.9443185
4909,-37.831319,144.943734,39,-37.8312305,144.9443185
